median_house_value,rooms_per_household,bedrooms_per_room,population_per_household,region_Region1,region_Region2,region_Region3,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income
358500.0,6.238137082601054,0.15579659106916466,2.109841827768014,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3076911246570015,1.0308888451808846,-0.600411651428382,2.0788601604509207,1.3597159454446839,0.855149220531884,1.6757518670067841,2.3191237290582913
352100.0,8.288135593220339,0.12951601908657123,2.8022598870056497,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3176326026119185,1.0262104070965283,1.8669447458094852,-0.5473050915559221,-0.8397266627181827,-0.8226728876582627,-0.8532511186319426,1.772537842761743
342200.0,6.281853281853282,0.1720958819913952,2.1814671814671813,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3226033415893805,1.0262104070965283,1.8669447458094852,-0.4726981241693641,-0.6236242230515255,-0.7619013782277534,-0.6374568992538202,-0.013394892233262177
261100.0,4.970588235294118,0.1992110453648915,2.172268907563025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3226033415893805,1.0215319690121718,1.8669447458094852,0.4235180715616642,0.401661796255837,0.10651468406908891,0.5599378546125904,-0.09454509565851613
281500.0,5.477611940298507,0.19709355131698456,2.263681592039801,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3275740805668426,1.0262104070965283,1.8669447458094852,-0.20457933512392118,-0.2538489373996899,-0.4580438310752072,-0.2611328337529483,-0.3500897039931379
241800.0,4.772479564032698,0.2146731373108764,2.0490463215258856,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3275740805668426,1.0262104070965283,1.8669447458094852,0.4020685684380288,0.5097130160891656,0.06511959793526377,0.6125705910462788,-0.31480245424564035
213500.0,5.322649572649572,0.1902850260939382,2.3461538461538463,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3275740805668426,1.0262104070965283,1.8669447458094852,-0.06982050028195075,-0.15780340865895334,-0.2924634865399066,-0.08744480352177665,-0.4171564205013637
191300.0,4.0,0.2744252873563218,1.9827586206896552,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3275740805668426,1.0215319690121718,1.8669447458094852,-0.9068174156498986,-0.8373255244996644,-0.9556656111945946,-0.8611460290969958,-0.6273092698877953
152500.0,5.9395770392749245,0.17650050864699898,2.395770392749245,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3325448195442975,1.0262104070965283,1.8669447458094852,-0.31462461201909425,-0.46274796241079186,-0.5610911731530273,-0.447979048092542,-0.5742213303566939
158700.0,5.343675417661098,0.20321572130415363,2.3627684964200477,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3275740805668426,1.0215319690121718,1.7077604621167195,-0.18732647391577964,-0.2034250348108032,-0.3875841099963559,-0.21639500778431317,-0.984631939808671
159800.0,4.478142076502732,0.2239170225747407,2.5382513661202184,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3325448195442975,1.0262104070965283,1.071023327345657,-0.46710260161537226,-0.41472519804042357,-0.44130964731898,-0.3558717593335874,-1.1299693363948031
113900.0,5.096234309623431,0.22208538587848933,2.1234309623430963,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3325448195442975,1.0215319690121718,1.8669447458094852,-0.09546664532108007,0.0030728519817803577,-0.36556544715921485,-0.061128435304932456,-1.1239485148503487
132600.0,5.270142180094787,0.19649280575539568,2.3838862559241707,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3325448195442975,1.0215319690121718,1.8669447458094852,-0.19432087710826945,-0.24664552274413465,-0.37349216578058564,-0.20850009731925992,-0.6658425277723029
107500.0,4.495798319327731,0.22990654205607478,2.6638655462184873,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3375155585217595,1.0262104070965283,0.9914311854992742,-0.9818906765826226,-1.0006029233589164,-0.9803265135721925,-1.0058860542896388,-0.7685629788176888
